Script File,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./scriptbase titles/Wag the Dog/script.txt,Wag the Dog,25,108,89,18,0,42,21,46,18,9,38,47
./scriptbase titles/Machete (film)/script.txt,Machete (film),94,176,89,66,8,86,15,53,13,56,68,50
./scriptbase titles/Eternal Sunshine of the Spotless Mind/script.txt,Eternal Sunshine of the Spotless Mind,273,252,164,162,26,136,29,78,26,126,96,57
./scriptbase titles/2012 (film)/script.txt,2012 (film),199,594,498,96,20,343,74,261,111,72,274,198
./scriptbase titles/Super 8 (film)/script.txt,Super 8 (film),140,303,393,61,14,182,45,238,60,58,152,187
./scriptbase titles/National Lampoons Barely Legal/script.txt,National Lampoons Barely Legal,145,252,258,82,16,134,31,154,24,77,120,127
./scriptbase titles/Reindeer Games/script.txt,Reindeer Games,134,553,430,70,14,282,92,289,57,55,213,211
./scriptbase titles/Unforgiven/script.txt,Unforgiven,101,387,270,50,22,195,58,160,41,45,157,129
./scriptbase titles/Chasing Amy/script.txt,Chasing Amy,225,204,99,130,22,116,16,51,10,109,92,38
./scriptbase titles/Freddy vs. Jason/script.txt,Freddy vs. Jason,477,465,222,274,43,283,38,125,32,182,214,95
./scriptbase titles/Alien Nation (film)/script.txt,Alien Nation (film),52,393,90,29,12,229,55,62,8,18,164,36
./scriptbase titles/The Goonies/script.txt,The Goonies,50,341,414,33,4,211,47,225,105,22,161,175
./scriptbase titles/I Walked with a Zombie/script.txt,I Walked with a Zombie,287,147,150,131,49,97,15,79,24,109,71,66
./scriptbase titles/Romeo + Juliet/script.txt,Romeo + Juliet,192,444,80,112,12,300,30,48,11,77,203,31
./scriptbase titles/Limitless/script.txt,Limitless,71,320,378,39,11,156,64,208,79,34,144,157
./scriptbase titles/Prometheus (2012 film)/script.txt,Prometheus (2012 film),174,192,137,103,24,111,28,81,18,83,73,65
./scriptbase titles/Willow (film)/script.txt,Willow (film),248,199,126,144,18,129,23,69,15,97,83,43
./scriptbase titles/The Leopard Man/script.txt,The Leopard Man,369,200,168,232,37,121,15,93,19,162,105,56
./scriptbase titles/Demolition Man (film)/script.txt,Demolition Man (film),75,251,134,44,10,120,44,80,18,32,99,69
./scriptbase titles/Nothing But a Man/script.txt,Nothing But a Man,92,177,69,40,18,101,22,42,6,33,96,30
./scriptbase titles/Badlands (film)/script.txt,Badlands (film),64,250,302,31,7,144,33,187,45,27,114,146
